file,true_language,pred_language,true_emotion,pred_emotion,emo_time,lang_time,total_sample_time
H_A_H_0337.wav,hindi,hindi,happy,disgust,0.0816,0.1952,0.27680000000000005
H_A_H_0338.wav,hindi,hindi,happy,happy,0.0701,0.1666,0.2367
H_A_H_0340.wav,hindi,hindi,happy,neutral,0.069,0.1824,0.2514
H_A_H_0341.wav,hindi,hindi,happy,happy,0.0938,0.1626,0.25639999999999996
H_A_H_0342.wav,hindi,hindi,happy,neutral,0.0777,0.2099,0.2876
H_A_H_0343.wav,hindi,hindi,happy,happy,0.075,0.1886,0.2636
H_A_H_0344.wav,hindi,hindi,happy,happy,0.07,0.2098,0.2798
H_A_H_0345.wav,hindi,hindi,happy,happy,0.0665,0.2051,0.2716
H_A_H_0346.wav,hindi,hindi,happy,happy,0.0843,0.1837,0.268
H_A_H_0347.wav,hindi,hindi,happy,happy,0.0785,0.2076,0.2861
H_A_H_0348.wav,hindi,hindi,happy,neutral,0.068,0.1985,0.2665
H_A_H_0349.wav,hindi,hindi,happy,happy,0.0813,0.1934,0.2747
H_A_H_0351.wav,hindi,hindi,happy,happy,0.0695,0.1923,0.26180000000000003
H_A_H_0352.wav,hindi,hindi,happy,happy,0.0673,0.1861,0.25339999999999996
H_A_H_0353.wav,hindi,hindi,happy,happy,0.0669,0.2509,0.3178
H_A_H_0354.wav,hindi,hindi,happy,happy,0.0986,0.1871,0.28569999999999995
H_A_H_0355.wav,hindi,hindi,happy,happy,0.0708,0.1814,0.2522
H_A_H_0356.wav,hindi,hindi,happy,happy,0.0731,0.222,0.29510000000000003
H_A_H_0357.wav,hindi,hindi,happy,happy,0.0734,0.1837,0.2571
H_A_H_0358.wav,hindi,hindi,happy,happy,0.0721,0.1733,0.2454
H_A_H_0359.wav,hindi,hindi,happy,happy,0.0611,0.2204,0.28150000000000003
H_A_H_0360.wav,hindi,hindi,happy,happy,0.063,0.1591,0.2221
H_A_H_0362.wav,hindi,hindi,happy,happy,0.0666,0.1852,0.2518
H_A_H_0363.wav,hindi,hindi,happy,happy,0.0599,0.171,0.23090000000000002
H_A_H_0364.wav,hindi,hindi,happy,happy,0.0629,0.1497,0.2126
H_A_H_0365.wav,hindi,hindi,happy,happy,0.0536,0.1449,0.1985
H_A_H_0366.wav,hindi,hindi,happy,happy,0.0545,0.1448,0.1993
H_A_H_0367.wav,hindi,hindi,happy,happy,0.0574,0.2205,0.2779
H_A_H_0368.wav,hindi,hindi,happy,happy,0.071,0.1989,0.2699
H_A_H_0369.wav,hindi,hindi,happy,neutral,0.0744,0.2333,0.3077
H_A_H_0370.wav,hindi,hindi,happy,happy,0.0813,0.2095,0.2908
H_A_H_0371.wav,hindi,hindi,happy,happy,0.0738,0.2132,0.28700000000000003
H_A_H_0373.wav,hindi,hindi,happy,happy,0.079,0.206,0.285
H_A_H_0374.wav,hindi,hindi,happy,happy,0.0763,0.1826,0.2589
H_A_H_0375.wav,hindi,hindi,happy,neutral,0.0695,0.1747,0.2442
H_A_H_0376.wav,hindi,hindi,happy,happy,0.0819,0.1964,0.2783
H_A_H_0377.wav,hindi,hindi,happy,happy,0.0616,0.1587,0.2203
H_A_H_0378.wav,hindi,hindi,happy,happy,0.0583,0.163,0.2213
H_A_H_0379.wav,hindi,hindi,happy,happy,0.0634,0.1596,0.22299999999999998
H_A_H_0380.wav,hindi,hindi,happy,happy,0.0577,0.1419,0.1996
H_A_H_0381.wav,hindi,hindi,happy,happy,0.0526,0.1484,0.201
H_A_H_0382.wav,hindi,hindi,happy,happy,0.0569,0.1543,0.2112
H_A_H_0384.wav,hindi,hindi,happy,happy,0.0563,0.1542,0.21050000000000002
H_A_H_0385.wav,hindi,hindi,happy,happy,0.0562,0.1508,0.207
H_A_H_0386.wav,hindi,hindi,happy,happy,0.0541,0.1559,0.21000000000000002
H_A_H_0387.wav,hindi,hindi,happy,happy,0.0594,0.1447,0.2041
H_A_H_0388.wav,hindi,hindi,happy,happy,0.0536,0.1517,0.2053
H_A_H_0389.wav,hindi,hindi,happy,happy,0.0549,0.1484,0.2033
H_A_H_0390.wav,hindi,hindi,happy,happy,0.059,0.15,0.209
H_A_H_0391.wav,hindi,hindi,happy,happy,0.0565,0.1458,0.2023
H_A_H_0392.wav,hindi,hindi,happy,happy,0.0529,0.1461,0.199
H_A_H_0393.wav,hindi,hindi,happy,happy,0.0574,0.1532,0.2106
H_A_H_0004.wav,hindi,hindi,happy,happy,0.0556,0.158,0.2136
H_A_H_0005.wav,hindi,hindi,happy,happy,0.0513,0.1503,0.2016
H_A_H_0006.wav,hindi,hindi,happy,happy,0.0569,0.1469,0.2038
H_A_H_0007.wav,hindi,hindi,happy,happy,0.0568,0.185,0.24180000000000001
H_A_H_0008.wav,hindi,hindi,happy,happy,0.0741,0.2372,0.3113
H_A_H_0009.wav,hindi,hindi,happy,happy,0.0727,0.1763,0.249
H_A_H_0010.wav,hindi,hindi,happy,happy,0.0714,0.1654,0.2368
H_A_H_0011.wav,hindi,hindi,happy,happy,0.0814,0.193,0.2744
H_A_H_0012.wav,hindi,hindi,happy,happy,0.0699,0.2135,0.2834
H_A_H_0013.wav,hindi,hindi,happy,happy,0.0836,0.1984,0.282
H_A_H_0015.wav,hindi,hindi,happy,sad,0.0777,0.1822,0.2599
H_A_H_0016.wav,hindi,hindi,happy,happy,0.0863,0.1903,0.2766
H_A_H_0017.wav,hindi,hindi,happy,happy,0.0707,0.2001,0.2708
H_A_H_0018.wav,hindi,hindi,happy,happy,0.0706,0.1797,0.25029999999999997
H_A_H_0019.wav,hindi,hindi,happy,happy,0.0677,0.1798,0.2475
H_A_H_0020.wav,hindi,hindi,happy,happy,0.0702,0.17,0.24020000000000002
H_A_H_0021.wav,hindi,hindi,happy,happy,0.0643,0.1709,0.2352
H_A_H_0022.wav,hindi,hindi,happy,happy,0.0658,0.1774,0.2432
H_A_H_0023.wav,hindi,hindi,happy,happy,0.0657,0.1814,0.2471
H_A_H_0024.wav,hindi,hindi,happy,happy,0.071,0.1861,0.2571
H_A_H_0026.wav,hindi,hindi,happy,disgust,0.0975,0.2001,0.2976
H_A_H_0027.wav,hindi,hindi,happy,happy,0.063,0.1761,0.2391
H_A_H_0028.wav,hindi,hindi,happy,happy,0.0699,0.1714,0.24130000000000001
H_A_H_0029.wav,hindi,hindi,happy,happy,0.0756,0.1775,0.2531
H_A_H_0030.wav,hindi,hindi,happy,happy,0.0649,0.1724,0.2373
H_A_H_0031.wav,hindi,hindi,happy,happy,0.0848,0.155,0.2398
H_A_H_0032.wav,hindi,hindi,happy,happy,0.065,0.1568,0.2218
H_A_H_0033.wav,hindi,hindi,happy,sad,0.065,0.1539,0.2189
H_A_H_0034.wav,hindi,hindi,happy,neutral,0.0553,0.1486,0.20390000000000003
H_A_H_0035.wav,hindi,hindi,happy,happy,0.0719,0.1422,0.2141
H_A_H_0037.wav,hindi,hindi,happy,happy,0.0505,0.145,0.1955
H_A_H_0038.wav,hindi,hindi,happy,happy,0.0523,0.1436,0.19590000000000002
H_A_H_0039.wav,hindi,hindi,happy,happy,0.0572,0.1424,0.1996
H_A_H_0040.wav,hindi,hindi,happy,happy,0.052,0.1497,0.2017
H_A_H_0041.wav,hindi,hindi,happy,happy,0.0561,0.1544,0.21050000000000002
H_A_H_0042.wav,hindi,hindi,happy,happy,0.0604,0.1459,0.2063
H_A_H_0043.wav,hindi,hindi,happy,happy,0.053,0.1449,0.1979
H_A_H_0044.wav,hindi,hindi,happy,happy,0.0575,0.1564,0.2139
H_A_H_0045.wav,hindi,hindi,happy,happy,0.0572,0.1569,0.2141
H_A_H_0046.wav,hindi,hindi,happy,happy,0.0542,0.1479,0.2021
H_A_H_0048.wav,hindi,hindi,happy,happy,0.0536,0.1473,0.2009
H_A_H_0049.wav,hindi,hindi,happy,happy,0.0578,0.1477,0.2055
H_A_H_0050.wav,hindi,hindi,happy,happy,0.056,0.1484,0.2044
H_A_H_0051.wav,hindi,hindi,happy,happy,0.0552,0.1507,0.2059
H_A_H_0052.wav,hindi,hindi,happy,happy,0.057,0.1482,0.2052
H_A_H_0053.wav,hindi,hindi,happy,happy,0.0539,0.1463,0.20020000000000002
H_A_H_0054.wav,hindi,hindi,happy,happy,0.0552,0.1464,0.2016
H_A_H_0055.wav,hindi,hindi,happy,happy,0.0563,0.1456,0.20190000000000002
H_A_H_0056.wav,hindi,hindi,happy,happy,0.055,0.1462,0.2012
H_A_H_0057.wav,hindi,hindi,happy,happy,0.0563,0.1427,0.199
H_A_H_0059.wav,hindi,hindi,happy,happy,0.0555,0.1427,0.1982
H_A_H_0060.wav,hindi,hindi,happy,happy,0.0535,0.1444,0.1979
H_A_H_0061.wav,hindi,hindi,happy,neutral,0.0513,0.1457,0.197
H_A_H_0062.wav,hindi,hindi,happy,happy,0.0588,0.1591,0.21789999999999998
H_A_H_0063.wav,hindi,hindi,happy,happy,0.0546,0.1489,0.20350000000000001
H_A_H_0064.wav,hindi,hindi,happy,happy,0.0556,0.1482,0.20379999999999998
H_A_H_0065.wav,hindi,hindi,happy,happy,0.056,0.1478,0.20379999999999998
H_A_H_0066.wav,hindi,hindi,happy,happy,0.0543,0.147,0.20129999999999998
H_A_H_0067.wav,hindi,hindi,happy,happy,0.056,0.151,0.207
H_A_H_0068.wav,hindi,hindi,happy,happy,0.0596,0.1487,0.20829999999999999
H_A_H_0070.wav,hindi,hindi,happy,neutral,0.0543,0.15,0.20429999999999998
H_A_H_0071.wav,hindi,hindi,happy,neutral,0.0557,0.1467,0.2024
H_A_H_0072.wav,hindi,hindi,happy,happy,0.056,0.1428,0.1988
H_A_H_0073.wav,hindi,hindi,happy,happy,0.0537,0.1429,0.1966
H_A_H_0074.wav,hindi,hindi,happy,happy,0.0546,0.1428,0.19740000000000002
H_A_H_0075.wav,hindi,hindi,happy,happy,0.0545,0.1421,0.1966
H_A_H_0076.wav,hindi,hindi,happy,happy,0.0533,0.1444,0.1977
H_A_H_0077.wav,hindi,hindi,happy,happy,0.0545,0.1438,0.1983
H_A_H_0078.wav,hindi,hindi,happy,happy,0.0567,0.1426,0.1993
H_A_H_0079.wav,hindi,hindi,happy,happy,0.0539,0.1449,0.1988
H_A_H_0081.wav,hindi,hindi,happy,happy,0.0529,0.1436,0.1965
H_A_H_0082.wav,hindi,hindi,happy,happy,0.0542,0.1459,0.2001
H_A_H_0083.wav,hindi,hindi,happy,neutral,0.0545,0.1416,0.1961
H_A_H_0084.wav,hindi,hindi,happy,happy,0.0555,0.1436,0.1991
H_A_H_0085.wav,hindi,hindi,happy,happy,0.0548,0.1422,0.197
H_A_H_0086.wav,hindi,hindi,happy,happy,0.0544,0.1427,0.1971
H_A_H_0087.wav,hindi,hindi,happy,neutral,0.0526,0.1327,0.18530000000000002
H_A_H_0088.wav,hindi,hindi,happy,happy,0.0545,0.1444,0.1989
H_A_H_0089.wav,hindi,hindi,happy,happy,0.0529,0.1418,0.1947
H_A_H_0090.wav,hindi,hindi,happy,happy,0.0557,0.1429,0.1986
H_A_H_0092.wav,hindi,hindi,happy,happy,0.0562,0.1438,0.2
H_A_H_0093.wav,hindi,hindi,happy,happy,0.0526,0.1432,0.1958
H_A_H_0094.wav,hindi,hindi,happy,happy,0.0535,0.1433,0.1968
H_A_H_0095.wav,hindi,hindi,happy,happy,0.0549,0.1462,0.2011
H_A_H_0096.wav,hindi,hindi,happy,neutral,0.0521,0.144,0.1961
H_A_H_0097.wav,hindi,hindi,happy,neutral,0.0542,0.1428,0.197
H_A_H_0098.wav,hindi,hindi,happy,happy,0.0551,0.142,0.1971
H_A_H_0099.wav,hindi,hindi,happy,happy,0.0539,0.1438,0.19770000000000001
H_A_H_0100.wav,hindi,hindi,happy,happy,0.0525,0.1428,0.1953
H_A_H_0101.wav,hindi,hindi,happy,disgust,0.0566,0.1427,0.19929999999999998
H_A_H_0103.wav,hindi,hindi,happy,happy,0.0551,0.1437,0.1988
H_A_H_0104.wav,hindi,hindi,happy,happy,0.054,0.1431,0.1971
H_A_H_0105.wav,hindi,hindi,happy,happy,0.0553,0.1439,0.1992
H_A_H_0106.wav,hindi,hindi,happy,neutral,0.053,0.1444,0.1974
H_A_H_0107.wav,hindi,hindi,happy,happy,0.0537,0.1443,0.198
H_A_H_0108.wav,hindi,hindi,happy,happy,0.0552,0.1428,0.198
H_A_H_0109.wav,hindi,hindi,happy,happy,0.0528,0.1422,0.195
H_A_H_0110.wav,hindi,hindi,happy,happy,0.0529,0.1441,0.197
H_A_H_0111.wav,hindi,hindi,happy,happy,0.0551,0.1427,0.1978
H_A_H_0112.wav,hindi,hindi,happy,happy,0.0547,0.1458,0.2005
H_A_H_0115.wav,hindi,hindi,happy,happy,0.0535,0.1435,0.19699999999999998
H_A_H_0116.wav,hindi,hindi,happy,happy,0.0568,0.1428,0.1996
H_A_H_0117.wav,hindi,hindi,happy,happy,0.0557,0.1437,0.1994
H_A_H_0118.wav,hindi,hindi,happy,happy,0.0525,0.1441,0.1966
H_A_H_0119.wav,hindi,hindi,happy,happy,0.0553,0.1431,0.19840000000000002
H_A_H_0120.wav,hindi,hindi,happy,happy,0.0548,0.1421,0.19690000000000002
H_A_H_0121.wav,hindi,hindi,happy,neutral,0.0533,0.1442,0.1975
H_A_H_0122.wav,hindi,hindi,happy,happy,0.0554,0.1437,0.1991
H_A_H_0123.wav,hindi,hindi,happy,happy,0.0534,0.1432,0.1966
H_A_H_0124.wav,hindi,hindi,happy,happy,0.0544,0.144,0.1984
H_A_H_0126.wav,hindi,hindi,happy,happy,0.0541,0.144,0.1981
H_A_H_0127.wav,hindi,hindi,happy,happy,0.0538,0.143,0.19679999999999997
H_A_H_0128.wav,hindi,hindi,happy,happy,0.0521,0.1468,0.19890000000000002
H_A_H_0129.wav,hindi,hindi,happy,happy,0.0553,0.1447,0.2
H_A_H_0130.wav,hindi,hindi,happy,happy,0.054,0.1442,0.1982
H_A_H_0131.wav,hindi,hindi,happy,happy,0.0539,0.1436,0.1975
H_A_H_0132.wav,hindi,hindi,happy,happy,0.0553,0.1469,0.2022
H_A_H_0133.wav,hindi,hindi,happy,happy,0.0524,0.1436,0.196
H_A_H_0134.wav,hindi,hindi,happy,happy,0.0555,0.1434,0.1989
H_A_H_0135.wav,hindi,hindi,happy,happy,0.0561,0.1417,0.19779999999999998
H_A_H_0137.wav,hindi,hindi,happy,happy,0.0539,0.1423,0.1962
H_A_H_0138.wav,hindi,hindi,happy,happy,0.0529,0.1437,0.1966
H_A_H_0139.wav,hindi,hindi,happy,happy,0.0559,0.1445,0.2004
H_A_H_0140.wav,hindi,hindi,happy,happy,0.0547,0.1431,0.1978
H_A_H_0141.wav,hindi,hindi,happy,happy,0.0551,0.1431,0.19820000000000002
H_A_H_0142.wav,hindi,hindi,happy,happy,0.0571,0.1437,0.20079999999999998
H_A_H_0143.wav,hindi,hindi,happy,happy,0.0564,0.1435,0.1999
H_A_H_0144.wav,hindi,hindi,happy,happy,0.0553,0.1467,0.202
H_A_H_0145.wav,hindi,hindi,happy,happy,0.0558,0.1419,0.1977
H_A_H_0146.wav,hindi,hindi,happy,happy,0.0538,0.1425,0.19629999999999997
H_A_H_0148.wav,hindi,hindi,happy,happy,0.0561,0.1438,0.19990000000000002
H_A_H_0149.wav,hindi,hindi,happy,happy,0.0559,0.1437,0.1996
H_A_H_0150.wav,hindi,hindi,happy,happy,0.0552,0.1437,0.1989
H_A_H_0151.wav,hindi,hindi,happy,happy,0.0557,0.1453,0.201
H_A_H_0152.wav,hindi,hindi,happy,happy,0.0562,0.1418,0.198
H_A_H_0153.wav,hindi,hindi,happy,disgust,0.0542,0.1442,0.1984
H_A_H_0154.wav,hindi,hindi,happy,neutral,0.0544,0.1449,0.1993
H_A_H_0155.wav,hindi,hindi,happy,happy,0.0577,0.1454,0.2031
H_A_H_0156.wav,hindi,hindi,happy,happy,0.0533,0.1468,0.2001
H_A_H_0157.wav,hindi,hindi,happy,happy,0.0555,0.1428,0.1983
H_A_H_0159.wav,hindi,hindi,happy,happy,0.0563,0.1449,0.2012
H_A_H_0160.wav,hindi,hindi,happy,happy,0.0536,0.1426,0.1962
H_A_H_0161.wav,hindi,hindi,happy,happy,0.0536,0.143,0.1966
H_A_H_0162.wav,hindi,hindi,happy,happy,0.0555,0.1449,0.2004
H_A_H_0163.wav,hindi,hindi,happy,happy,0.054,0.1469,0.2009
H_A_H_0164.wav,hindi,hindi,happy,happy,0.0531,0.144,0.1971
H_A_H_0165.wav,hindi,hindi,happy,happy,0.055,0.1416,0.1966
H_A_H_0166.wav,hindi,hindi,happy,happy,0.0563,0.1445,0.20079999999999998
H_A_H_0167.wav,hindi,hindi,happy,happy,0.0543,0.1431,0.19740000000000002
H_A_H_0168.wav,hindi,hindi,happy,happy,0.0569,0.1418,0.19870000000000002
H_A_H_0170.wav,hindi,hindi,happy,happy,0.0524,0.1437,0.1961
H_A_H_0171.wav,hindi,hindi,happy,happy,0.054,0.1445,0.19849999999999998
H_A_H_0172.wav,hindi,hindi,happy,happy,0.0566,0.1421,0.1987
H_A_H_0173.wav,hindi,hindi,happy,happy,0.055,0.1438,0.1988
H_A_H_0174.wav,hindi,hindi,happy,happy,0.0541,0.1429,0.197
H_A_H_0175.wav,hindi,hindi,happy,happy,0.0561,0.1447,0.20079999999999998
H_A_H_0176.wav,hindi,hindi,happy,happy,0.0547,0.1439,0.1986
H_A_H_0177.wav,hindi,hindi,happy,happy,0.0539,0.1423,0.1962
H_A_H_0178.wav,hindi,hindi,happy,happy,0.0557,0.1439,0.1996
H_A_H_0179.wav,hindi,hindi,happy,happy,0.0541,0.1414,0.1955
H_A_H_0181.wav,hindi,hindi,happy,happy,0.054,0.1446,0.1986
H_A_H_0182.wav,hindi,hindi,happy,neutral,0.0554,0.1411,0.1965
H_A_H_0183.wav,hindi,hindi,happy,happy,0.0532,0.1448,0.198
H_A_H_0184.wav,hindi,hindi,happy,happy,0.0532,0.1427,0.1959
H_A_H_0185.wav,hindi,hindi,happy,happy,0.0592,0.1432,0.2024
H_A_H_0186.wav,hindi,hindi,happy,happy,0.0516,0.1442,0.1958
H_A_H_0187.wav,hindi,hindi,happy,happy,0.0562,0.1456,0.2018
H_A_H_0188.wav,hindi,hindi,happy,happy,0.0554,0.1428,0.19820000000000002
H_A_H_0189.wav,hindi,hindi,happy,happy,0.0518,0.1459,0.1977
H_A_H_0190.wav,hindi,hindi,happy,happy,0.0542,0.1435,0.1977
H_A_H_0192.wav,hindi,hindi,happy,happy,0.0534,0.1455,0.1989
H_A_H_0193.wav,hindi,hindi,happy,happy,0.0521,0.1439,0.196
H_A_H_0194.wav,hindi,hindi,happy,happy,0.053,0.1439,0.1969
H_A_H_0195.wav,hindi,hindi,happy,happy,0.0561,0.1429,0.199
H_A_H_0196.wav,hindi,hindi,happy,happy,0.0555,0.1426,0.1981
H_A_H_0197.wav,hindi,hindi,happy,happy,0.0557,0.1452,0.2009
H_A_H_0198.wav,hindi,hindi,happy,happy,0.0573,0.1437,0.20099999999999998
H_A_H_0199.wav,hindi,hindi,happy,happy,0.0545,0.1451,0.1996
H_A_H_0200.wav,hindi,hindi,happy,happy,0.0543,0.1439,0.1982
H_A_H_0201.wav,hindi,hindi,happy,happy,0.0589,0.1422,0.2011
H_A_H_0203.wav,hindi,hindi,happy,happy,0.055,0.1446,0.1996
H_A_H_0204.wav,hindi,hindi,happy,happy,0.0538,0.1413,0.1951
H_A_H_0205.wav,hindi,hindi,happy,happy,0.0542,0.1433,0.1975
H_A_H_0206.wav,hindi,hindi,happy,happy,0.0537,0.1452,0.1989
H_A_H_0207.wav,hindi,hindi,happy,happy,0.0547,0.1432,0.1979
H_A_H_0208.wav,hindi,hindi,happy,happy,0.0543,0.1463,0.2006
H_A_H_0209.wav,hindi,hindi,happy,happy,0.0543,0.1435,0.19779999999999998
H_A_H_0210.wav,hindi,hindi,happy,happy,0.0649,0.1461,0.21100000000000002
H_A_H_0211.wav,hindi,hindi,happy,happy,0.0557,0.1433,0.199
H_A_H_0212.wav,hindi,hindi,happy,happy,0.0553,0.1435,0.19879999999999998
H_A_H_0214.wav,hindi,hindi,happy,happy,0.0558,0.1451,0.20090000000000002
H_A_H_0215.wav,hindi,hindi,happy,happy,0.056,0.1437,0.1997
H_A_H_0216.wav,hindi,hindi,happy,happy,0.0572,0.148,0.2052
H_A_H_0217.wav,hindi,hindi,happy,happy,0.0545,0.1433,0.1978
H_A_H_0218.wav,hindi,hindi,happy,happy,0.0559,0.1446,0.2005
H_A_H_0219.wav,hindi,hindi,happy,happy,0.053,0.1441,0.1971
H_A_H_0220.wav,hindi,hindi,happy,happy,0.0542,0.1428,0.197
H_A_H_0221.wav,hindi,hindi,happy,sad,0.056,0.1426,0.1986
H_A_H_0222.wav,hindi,hindi,happy,happy,0.0531,0.142,0.1951
H_A_H_0223.wav,hindi,hindi,happy,happy,0.054,0.1453,0.1993
H_A_H_0226.wav,hindi,hindi,happy,happy,0.056,0.144,0.19999999999999998
H_A_H_0227.wav,hindi,hindi,happy,happy,0.0538,0.1423,0.1961
H_A_H_0228.wav,hindi,hindi,happy,happy,0.0534,0.1455,0.1989
H_A_H_0229.wav,hindi,hindi,happy,happy,0.0572,0.1422,0.1994
H_A_H_0230.wav,hindi,hindi,happy,happy,0.0526,0.145,0.1976
H_A_H_0231.wav,hindi,hindi,happy,happy,0.0553,0.1449,0.2002
H_A_H_0232.wav,hindi,hindi,happy,happy,0.0556,0.141,0.1966
H_A_H_0233.wav,hindi,hindi,happy,sad,0.0564,0.1438,0.20020000000000002
H_A_H_0234.wav,hindi,hindi,happy,disgust,0.0553,0.142,0.19729999999999998
H_A_H_0235.wav,hindi,hindi,happy,happy,0.0535,0.148,0.20149999999999998
H_A_H_0237.wav,hindi,hindi,happy,happy,0.053,0.1428,0.1958
H_A_H_0238.wav,hindi,hindi,happy,happy,0.0564,0.1435,0.1999
H_A_H_0239.wav,hindi,hindi,happy,happy,0.0554,0.1416,0.197
H_A_H_0240.wav,hindi,hindi,happy,happy,0.0551,0.143,0.1981
H_A_H_0241.wav,hindi,hindi,happy,happy,0.0537,0.1445,0.1982
H_A_H_0242.wav,hindi,hindi,happy,happy,0.0562,0.1413,0.1975
H_A_H_0243.wav,hindi,hindi,happy,happy,0.0552,0.1437,0.1989
H_A_H_0244.wav,hindi,hindi,happy,happy,0.053,0.1442,0.1972
H_A_H_0245.wav,hindi,hindi,happy,sad,0.0565,0.141,0.19749999999999998
H_A_H_0246.wav,hindi,hindi,happy,happy,0.0535,0.1452,0.1987
H_A_H_0248.wav,hindi,hindi,happy,happy,0.0538,0.1425,0.19629999999999997
H_A_H_0249.wav,hindi,hindi,happy,happy,0.0552,0.1445,0.1997
H_A_H_0250.wav,hindi,hindi,happy,happy,0.0532,0.1425,0.19569999999999999
H_A_H_0251.wav,hindi,hindi,happy,happy,0.0538,0.1432,0.197
H_A_H_0252.wav,hindi,hindi,happy,happy,0.0546,0.1453,0.19990000000000002
H_A_H_0253.wav,hindi,hindi,happy,happy,0.0533,0.1434,0.19669999999999999
H_A_H_0254.wav,hindi,hindi,happy,happy,0.055,0.1443,0.1993
H_A_H_0255.wav,hindi,hindi,happy,happy,0.0587,0.1427,0.2014
H_A_H_0256.wav,hindi,hindi,happy,sad,0.0538,0.142,0.19579999999999997
H_A_H_0257.wav,hindi,hindi,happy,happy,0.0547,0.1429,0.1976
H_A_H_0259.wav,hindi,hindi,happy,happy,0.0571,0.1431,0.2002
